NAZ_OBEC,KOD_LAU1,NAZ_LAU1,KOD_CZNUTS3,NAZ_CZNUTS3
Želechovice nad Dřevnicí,CZ0724,Zlín,CZ072,Zlínský kraj
Petrov nad Desnou,CZ0715,Šumperk,CZ071,Olomoucký kraj
Libhošť,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj
Krhová,CZ0723,Vsetín,CZ072,Zlínský kraj
Poličná,CZ0723,Vsetín,CZ072,Zlínský kraj
Veřovice,CZ0804,Nový Jičín,CZ080,Moravskoslezský kraj
Vřesina,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj
Olomouc,CZ0712,Olomouc,CZ071,Olomoucký kraj
Bělkovice-Lašťany,CZ0712,Olomouc,CZ071,Olomoucký kraj
Bílá Lhota,CZ0712,Olomouc,CZ071,Olomoucký kraj
Blatec,CZ0712,Olomouc,CZ071,Olomoucký kraj
Bohuňovice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Bouzov,CZ0712,Olomouc,CZ071,Olomoucký kraj
Bystročice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Dlouhá Loučka,CZ0712,Olomouc,CZ071,Olomoucký kraj
Dolany,CZ0712,Olomouc,CZ071,Olomoucký kraj
Drahanovice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Dub nad Moravou,CZ0712,Olomouc,CZ071,Olomoucký kraj
Grygov,CZ0712,Olomouc,CZ071,Olomoucký kraj
Hlubočky,CZ0712,Olomouc,CZ071,Olomoucký kraj
Hněvotín,CZ0712,Olomouc,CZ071,Olomoucký kraj
Hnojice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Horka nad Moravou,CZ0712,Olomouc,CZ071,Olomoucký kraj
Cholina,CZ0712,Olomouc,CZ071,Olomoucký kraj
Jívová,CZ0712,Olomouc,CZ071,Olomoucký kraj
Kožušany-Tážaly,CZ0712,Olomouc,CZ071,Olomoucký kraj
Žitovlice,CZ0208,Nymburk,CZ020,Středočeský kraj
Litovel,CZ0712,Olomouc,CZ071,Olomoucký kraj
Luká,CZ0712,Olomouc,CZ071,Olomoucký kraj
Lutín,CZ0712,Olomouc,CZ071,Olomoucký kraj
Majetín,CZ0712,Olomouc,CZ071,Olomoucký kraj
Kostelec,CZ0327,Tachov,CZ032,Plzeňský kraj
Libavá,CZ0712,Olomouc,CZ071,Olomoucký kraj
Mladeč,CZ0712,Olomouc,CZ071,Olomoucký kraj
Dřenice,CZ0531,Chrudim,CZ053,Pardubický kraj
Náklo,CZ0712,Olomouc,CZ071,Olomoucký kraj
Náměšť na Hané,CZ0712,Olomouc,CZ071,Olomoucký kraj
Paseka,CZ0712,Olomouc,CZ071,Olomoucký kraj
Lány,CZ0531,Chrudim,CZ053,Pardubický kraj
Třibřichy,CZ0531,Chrudim,CZ053,Pardubický kraj
Dvakačovice,CZ0531,Chrudim,CZ053,Pardubický kraj
Bítovany,CZ0531,Chrudim,CZ053,Pardubický kraj
Příkazy,CZ0712,Olomouc,CZ071,Olomoucký kraj
Dolní Bezděkov,CZ0531,Chrudim,CZ053,Pardubický kraj
Senice na Hané,CZ0712,Olomouc,CZ071,Olomoucký kraj
Senice na Hané,CZ0712,Olomouc,CZ071,Olomoucký kraj
Červená Hora,CZ0523,Náchod,CZ052,Královéhradecký kraj
Slatinice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Březová nad Svitavou,CZ0533,Svitavy,CZ053,Pardubický kraj
Štěpánov,CZ0712,Olomouc,CZ071,Olomoucký kraj
Šternberk,CZ0712,Olomouc,CZ071,Olomoucký kraj
Šternberk,CZ0712,Olomouc,CZ071,Olomoucký kraj
Šumvald,CZ0712,Olomouc,CZ071,Olomoucký kraj
Těšetice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Troubelice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Tršice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Bělá u Jevíčka,CZ0533,Svitavy,CZ053,Pardubický kraj
Újezd,CZ0712,Olomouc,CZ071,Olomoucký kraj
Jenčice,CZ0423,Litoměřice,CZ042,Ústecký kraj
Uničov,CZ0712,Olomouc,CZ071,Olomoucký kraj
Velká Bystřice,CZ0712,Olomouc,CZ071,Olomoucký kraj
Velký Týnec,CZ0712,Olomouc,CZ071,Olomoucký kraj
Velký Újezd,CZ0712,Olomouc,CZ071,Olomoucký kraj
