NAZ_OBEC,KOD_LAU1,NAZ_LAU1,KOD_CZNUTS3,NAZ_CZNUTS3
Zápy,CZ0209,Praha-východ,CZ020,Středočeský kraj
Žerotín,CZ0712,Olomouc,CZ071,Olomoucký kraj
Opava,CZ0805,Opava,CZ080,Moravskoslezský kraj
Bohuslavice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Bolatice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Brumovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Březová,CZ0805,Opava,CZ080,Moravskoslezský kraj
Budišov nad Budišovkou,CZ0805,Opava,CZ080,Moravskoslezský kraj
Boží Dar,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Nové Hamry,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Čichalov,CZ0412,Karlovy Vary,CZ041,Karlovarský kraj
Skořice,CZ0326,Rokycany,CZ032,Plzeňský kraj
Otmarov,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj
Dolní Benešov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Dolní Lhota,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj
Dvorce,CZ0632,Jihlava,CZ063,Kraj Vysočina
Chvalčov,CZ0721,Kroměříž,CZ072,Zlínský kraj
Háj ve Slezsku,CZ0805,Opava,CZ080,Moravskoslezský kraj
Alojzov,CZ0713,Prostějov,CZ071,Olomoucký kraj
Seloutky,CZ0713,Prostějov,CZ071,Olomoucký kraj
Hlučín,CZ0805,Opava,CZ080,Moravskoslezský kraj
Nýdek,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Hněvošice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Holasovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Pržno,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Komorní Lhotka,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Hrabyně,CZ0805,Opava,CZ080,Moravskoslezský kraj
Hradec nad Moravicí,CZ0805,Opava,CZ080,Moravskoslezský kraj
Chuchelná,CZ0805,Opava,CZ080,Moravskoslezský kraj
Jakartovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Janovice,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Košařiska,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Kobeřice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Milíkov,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Kravaře,CZ0805,Opava,CZ080,Moravskoslezský kraj
Doňov,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Pleše,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Újezdec,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Višňová,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Záhoří,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Peč,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Březina,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Ratiboř,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Litultovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Ludgeřovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Roseč,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Markvartovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Melč,CZ0805,Opava,CZ080,Moravskoslezský kraj
Střížovice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Kostelní Vydří,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Mokré Lazce,CZ0805,Opava,CZ080,Moravskoslezský kraj
Lužnice,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Záblatí,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Plavsko,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Kostelní Radouň,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Červený Hrádek,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Dvory nad Lužnicí,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Cep,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Arneštovice,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Bořetín,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Oldřišov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Otice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Předotice,CZ0314,Písek,CZ031,Jihočeský kraj
Píšť,CZ0805,Opava,CZ080,Moravskoslezský kraj
Pustá Polom,CZ0805,Opava,CZ080,Moravskoslezský kraj
Křižanov,CZ0314,Písek,CZ031,Jihočeský kraj
Raduň,CZ0805,Opava,CZ080,Moravskoslezský kraj
Čečelovice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Skřipov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Slavkov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Služovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Stěbořice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Sudice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Šilheřovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Štěpánkovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Štítina,CZ0805,Opava,CZ080,Moravskoslezský kraj
Láz,CZ0634,Třebíč,CZ063,Kraj Vysočina
Kojatín,CZ0634,Třebíč,CZ063,Kraj Vysočina
Velká Polom,CZ0806,Ostrava-město,CZ080,Moravskoslezský kraj
Velké Heraltice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Velké Hoštice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Ocmanice,CZ0634,Třebíč,CZ063,Kraj Vysočina
Vítkov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Vítkov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Sedlec,CZ0634,Třebíč,CZ063,Kraj Vysočina
Vršovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Vícenice u Náměště nad Oslavou,CZ0634,Třebíč,CZ063,Kraj Vysočina
Rácovice,CZ0634,Třebíč,CZ063,Kraj Vysočina
Přerov,CZ0714,Přerov,CZ071,Olomoucký kraj
Oslavička,CZ0635,Žďár nad Sázavou,CZ063,Kraj Vysočina
Josefov,CZ0413,Sokolov,CZ041,Karlovarský kraj
Bocanovice,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Bukovec,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Dolní Lomná,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Horní Lomná,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Písek,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Hrádek,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Metylovice,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Horní Domaslavice,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj
Bělotín,CZ0714,Přerov,CZ071,Olomoucký kraj
Beňov,CZ0714,Přerov,CZ071,Olomoucký kraj
Bezuchov,CZ0714,Přerov,CZ071,Olomoucký kraj
Bochoř,CZ0714,Přerov,CZ071,Olomoucký kraj
Těškovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Brodek u Přerova,CZ0714,Přerov,CZ071,Olomoucký kraj
Buk,CZ0714,Přerov,CZ071,Olomoucký kraj
Strahovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Býškovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Nové Lublice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Kyjovice,CZ0805,Opava,CZ080,Moravskoslezský kraj
Chlebičov,CZ0805,Opava,CZ080,Moravskoslezský kraj
Bělá,CZ0805,Opava,CZ080,Moravskoslezský kraj
Citov,CZ0714,Přerov,CZ071,Olomoucký kraj
Drnek,CZ0203,Kladno,CZ020,Středočeský kraj
Kamenný Most,CZ0203,Kladno,CZ020,Středočeský kraj
Lhota,CZ0203,Kladno,CZ020,Středočeský kraj
Čelechovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Černotín,CZ0714,Přerov,CZ071,Olomoucký kraj
Hobšovice,CZ0203,Kladno,CZ020,Středočeský kraj
Dobrčice,CZ0714,Přerov,CZ071,Olomoucký kraj
Malé Přítočno,CZ0203,Kladno,CZ020,Středočeský kraj
Dolany,CZ0203,Kladno,CZ020,Středočeský kraj
Polní Voděrady,CZ0204,Kolín,CZ020,Středočeský kraj
Ždánice,CZ0204,Kolín,CZ020,Středočeský kraj
Dománovice,CZ0204,Kolín,CZ020,Středočeský kraj
Dolní Újezd,CZ0714,Přerov,CZ071,Olomoucký kraj
Zalešany,CZ0204,Kolín,CZ020,Středočeský kraj
Domaželice,CZ0714,Přerov,CZ071,Olomoucký kraj
Dřevohostice,CZ0714,Přerov,CZ071,Olomoucký kraj
Polní Chrčice,CZ0204,Kolín,CZ020,Středočeský kraj
Žabonosy,CZ0204,Kolín,CZ020,Středočeský kraj
Lipec,CZ0204,Kolín,CZ020,Středočeský kraj
Mrzky,CZ0204,Kolín,CZ020,Středočeský kraj
Přehvozdí,CZ0204,Kolín,CZ020,Středočeský kraj
Přistoupim,CZ0204,Kolín,CZ020,Středočeský kraj
Kbel,CZ0204,Kolín,CZ020,Středočeský kraj
Pašinka,CZ0204,Kolín,CZ020,Středočeský kraj
Chýnice,CZ020A,Praha-západ,CZ020,Středočeský kraj
Vestec,CZ020A,Praha-západ,CZ020,Středočeský kraj
Vysoký Újezd,CZ0201,Benešov,CZ020,Středočeský kraj
Horní Moštěnice,CZ0714,Přerov,CZ071,Olomoucký kraj
Dlouhá Lhota,CZ020B,Příbram,CZ020,Středočeský kraj
Zduchovice,CZ020B,Příbram,CZ020,Středočeský kraj
Lešetice,CZ020B,Příbram,CZ020,Středočeský kraj
Velká Lečice,CZ020B,Příbram,CZ020,Středočeský kraj
Příčovy,CZ020B,Příbram,CZ020,Středočeský kraj
Kotenčice,CZ020B,Příbram,CZ020,Středočeský kraj
Občov,CZ020B,Příbram,CZ020,Středočeský kraj
Hudčice,CZ020B,Příbram,CZ020,Středočeský kraj
Klokočná,CZ0209,Praha-východ,CZ020,Středočeský kraj
Hrabůvka,CZ0714,Přerov,CZ071,Olomoucký kraj
Zlatá,CZ0209,Praha-východ,CZ020,Středočeský kraj
Nová Ves,CZ0312,Český Krumlov,CZ031,Jihočeský kraj
Horní Smržov,CZ0641,Blansko,CZ064,Jihomoravský kraj
Roubanina,CZ0641,Blansko,CZ064,Jihomoravský kraj
Urbanice,CZ0521,Hradec Králové,CZ052,Královéhradecký kraj
Hradčany,CZ0714,Přerov,CZ071,Olomoucký kraj
Hranice,CZ0714,Přerov,CZ071,Olomoucký kraj
Hranice,CZ0714,Přerov,CZ071,Olomoucký kraj
Hustopeče nad Bečvou,CZ0714,Přerov,CZ071,Olomoucký kraj
Jindřichov,CZ0714,Přerov,CZ071,Olomoucký kraj
Skalka u Doks,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Klokočí,CZ0714,Přerov,CZ071,Olomoucký kraj
Kojetín,CZ0714,Přerov,CZ071,Olomoucký kraj
Kokory,CZ0714,Přerov,CZ071,Olomoucký kraj
Luka,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Ždírec,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Pertoltice pod Ralskem,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Lazníčky,CZ0714,Přerov,CZ071,Olomoucký kraj
Lazníky,CZ0714,Přerov,CZ071,Olomoucký kraj
Lazníky,CZ0714,Přerov,CZ071,Olomoucký kraj
Lhota,CZ0714,Přerov,CZ071,Olomoucký kraj
Lhotka,CZ0714,Přerov,CZ071,Olomoucký kraj
Lipník nad Bečvou,CZ0714,Přerov,CZ071,Olomoucký kraj
Lipová,CZ0714,Přerov,CZ071,Olomoucký kraj
Líšná,CZ0714,Přerov,CZ071,Olomoucký kraj
Lobodice,CZ0714,Přerov,CZ071,Olomoucký kraj
Malhotice,CZ0714,Přerov,CZ071,Olomoucký kraj
Milenov,CZ0714,Přerov,CZ071,Olomoucký kraj
Milotice nad Bečvou,CZ0714,Přerov,CZ071,Olomoucký kraj
Nelešovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Oldřichov,CZ0714,Přerov,CZ071,Olomoucký kraj
Opatovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Oprostovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Osek nad Bečvou,CZ0714,Přerov,CZ071,Olomoucký kraj
Paršovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Partutovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Pavlovice u Přerova,CZ0714,Přerov,CZ071,Olomoucký kraj
Podolí,CZ0714,Přerov,CZ071,Olomoucký kraj
Polkovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Polom,CZ0714,Přerov,CZ071,Olomoucký kraj
Potštát,CZ0714,Přerov,CZ071,Olomoucký kraj
Prosenice,CZ0714,Přerov,CZ071,Olomoucký kraj
Provodovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Přestavlky,CZ0714,Přerov,CZ071,Olomoucký kraj
Radíkov,CZ0714,Přerov,CZ071,Olomoucký kraj
Radkova Lhota,CZ0714,Přerov,CZ071,Olomoucký kraj
Radkovy,CZ0714,Přerov,CZ071,Olomoucký kraj
Radotín,CZ0714,Přerov,CZ071,Olomoucký kraj
Radslavice,CZ0714,Přerov,CZ071,Olomoucký kraj
Radvanice,CZ0714,Přerov,CZ071,Olomoucký kraj
Rakov,CZ0714,Přerov,CZ071,Olomoucký kraj
Rokytnice,CZ0714,Přerov,CZ071,Olomoucký kraj
Rouské,CZ0714,Přerov,CZ071,Olomoucký kraj
Říkovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Skalička,CZ0714,Přerov,CZ071,Olomoucký kraj
Sobíšky,CZ0714,Přerov,CZ071,Olomoucký kraj
Soběchleby,CZ0714,Přerov,CZ071,Olomoucký kraj
Stará Ves,CZ0714,Přerov,CZ071,Olomoucký kraj
Střítež nad Ludinou,CZ0714,Přerov,CZ071,Olomoucký kraj
Sušice,CZ0714,Přerov,CZ071,Olomoucký kraj
Teplice nad Bečvou,CZ0714,Přerov,CZ071,Olomoucký kraj
Tovačov,CZ0714,Přerov,CZ071,Olomoucký kraj
Troubky,CZ0714,Přerov,CZ071,Olomoucký kraj
Tučín,CZ0714,Přerov,CZ071,Olomoucký kraj
Ústí,CZ0714,Přerov,CZ071,Olomoucký kraj
Veselíčko,CZ0714,Přerov,CZ071,Olomoucký kraj
Všechovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Zámrsky,CZ0714,Přerov,CZ071,Olomoucký kraj
Žákovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Želatovice,CZ0714,Přerov,CZ071,Olomoucký kraj
Šumperk,CZ0715,Šumperk,CZ071,Olomoucký kraj
Bělá pod Pradědem,CZ0711,Jeseník,CZ071,Olomoucký kraj
Bernartice,CZ0711,Jeseník,CZ071,Olomoucký kraj
Bílá Voda,CZ0711,Jeseník,CZ071,Olomoucký kraj
Bludov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Bohdíkov,CZ0715,Šumperk,CZ071,Olomoucký kraj
Bohuslavice,CZ0715,Šumperk,CZ071,Olomoucký kraj
Bohutín,CZ0715,Šumperk,CZ071,Olomoucký kraj
Branná,CZ0715,Šumperk,CZ071,Olomoucký kraj
Rohozec,CZ0205,Kutná Hora,CZ020,Středočeský kraj
Podveky,CZ0205,Kutná Hora,CZ020,Středočeský kraj
Benešov,CZ0201,Benešov,CZ020,Středočeský kraj
Bystřice,CZ0201,Benešov,CZ020,Středočeský kraj
Čakov,CZ0201,Benešov,CZ020,Středočeský kraj
Čechtice,CZ0201,Benešov,CZ020,Středočeský kraj
Čerčany,CZ0201,Benešov,CZ020,Středočeský kraj
Čejkovice,CZ0205,Kutná Hora,CZ020,Středočeský kraj
Červený Újezd,CZ0201,Benešov,CZ020,Středočeský kraj
Český Šternberk,CZ0201,Benešov,CZ020,Středočeský kraj
Dobrovítov,CZ0205,Kutná Hora,CZ020,Středočeský kraj
Čtyřkoly,CZ0201,Benešov,CZ020,Středočeský kraj
Medonosy,CZ0206,Mělník,CZ020,Středočeský kraj
Tupadly,CZ0206,Mělník,CZ020,Středočeský kraj
Sedlec,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Rokytá,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Josefův Důl,CZ0207,Mladá Boleslav,CZ020,Středočeský kraj
Divišov,CZ0201,Benešov,CZ020,Středočeský kraj
Divišov,CZ0201,Benešov,CZ020,Středočeský kraj
Kostomlátky,CZ0208,Nymburk,CZ020,Středočeský kraj
Dolní Kralovice,CZ0201,Benešov,CZ020,Středočeský kraj
Pětihosty,CZ0209,Praha-východ,CZ020,Středočeský kraj
Těchařovice,CZ020B,Příbram,CZ020,Středočeský kraj
Bezděkov pod Třemšínem,CZ020B,Příbram,CZ020,Středočeský kraj
Koupě,CZ020B,Příbram,CZ020,Středočeský kraj
Velká Chmelištná,CZ020C,Rakovník,CZ020,Středočeský kraj
Heřmaničky,CZ0201,Benešov,CZ020,Středočeský kraj
Drahouš,CZ020C,Rakovník,CZ020,Středočeský kraj
Kvítkovice,CZ0311,České Budějovice,CZ031,Jihočeský kraj
Hulice,CZ0201,Benešov,CZ020,Středočeský kraj
Hvězdonice,CZ0201,Benešov,CZ020,Středočeský kraj
Dívčí Kopy,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Žďár,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Žďár,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj
Chlum,CZ0201,Benešov,CZ020,Středočeský kraj
Chmelná,CZ0201,Benešov,CZ020,Středočeský kraj
Chocerady,CZ0201,Benešov,CZ020,Středočeský kraj
Chotýšany,CZ0201,Benešov,CZ020,Středočeský kraj
Čelistná,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Mezná,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Jankov,CZ0201,Benešov,CZ020,Středočeský kraj
Jankov,CZ0201,Benešov,CZ020,Středočeský kraj
Javorník,CZ0201,Benešov,CZ020,Středočeský kraj
Důl,CZ0633,Pelhřimov,CZ063,Kraj Vysočina
Okrouhlá,CZ0314,Písek,CZ031,Jihočeský kraj
Stehlovice,CZ0314,Písek,CZ031,Jihočeský kraj
Nicov,CZ0315,Prachatice,CZ031,Jihočeský kraj
Keblov,CZ0201,Benešov,CZ020,Středočeský kraj
Vrbice,CZ0315,Prachatice,CZ031,Jihočeský kraj
Žárovná,CZ0315,Prachatice,CZ031,Jihočeský kraj
Kondrac,CZ0201,Benešov,CZ020,Středočeský kraj
Kozmice,CZ0201,Benešov,CZ020,Středočeský kraj
Krhanice,CZ0201,Benešov,CZ020,Středočeský kraj
Buzice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Krňany,CZ0201,Benešov,CZ020,Středočeský kraj
Chlum,CZ0316,Strakonice,CZ031,Jihočeský kraj
Křečovice,CZ0201,Benešov,CZ020,Středočeský kraj
Křivsoudov,CZ0201,Benešov,CZ020,Středočeský kraj
Březí,CZ0316,Strakonice,CZ031,Jihočeský kraj
Kuňovice,CZ0201,Benešov,CZ020,Středočeský kraj
Stožice,CZ0316,Strakonice,CZ031,Jihočeský kraj
Katov,CZ0317,Tábor,CZ031,Jihočeský kraj
Lešany,CZ0201,Benešov,CZ020,Středočeský kraj
Libež,CZ0201,Benešov,CZ020,Středočeský kraj
Bukovník,CZ0322,Klatovy,CZ032,Plzeňský kraj
Loket,CZ0201,Benešov,CZ020,Středočeský kraj
Loket,CZ0201,Benešov,CZ020,Středočeský kraj
Louňovice pod Blaníkem,CZ0201,Benešov,CZ020,Středočeský kraj
Maršovice,CZ0201,Benešov,CZ020,Středočeský kraj
Dobršín,CZ0322,Klatovy,CZ032,Plzeňský kraj
Přestavlky,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Milínov,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Mezno,CZ0201,Benešov,CZ020,Středočeský kraj
Miličín,CZ0201,Benešov,CZ020,Středočeský kraj
Miřetice,CZ0201,Benešov,CZ020,Středočeský kraj
Žákava,CZ0324,Plzeň-jih,CZ032,Plzeňský kraj
Mnichovice,CZ0201,Benešov,CZ020,Středočeský kraj
Mrač,CZ0201,Benešov,CZ020,Středočeský kraj
Načeradec,CZ0201,Benešov,CZ020,Středočeský kraj
Hněvnice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Bílov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Potvorov,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Nespeky,CZ0201,Benešov,CZ020,Středočeský kraj
Sedlec,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Vysoká Libyně,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Netvořice,CZ0201,Benešov,CZ020,Středočeský kraj
Neustupov,CZ0201,Benešov,CZ020,Středočeský kraj
Neveklov,CZ0201,Benešov,CZ020,Středočeský kraj
Čerňovice,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Pláně,CZ0325,Plzeň-sever,CZ032,Plzeňský kraj
Olbramovice,CZ0201,Benešov,CZ020,Středočeský kraj
Ostředek,CZ0201,Benešov,CZ020,Středočeský kraj
Kařízek,CZ0326,Rokycany,CZ032,Plzeňský kraj
Drahoňův Újezd,CZ0326,Rokycany,CZ032,Plzeňský kraj
Radvanec,CZ0511,Česká Lípa,CZ051,Liberecký kraj
Janská,CZ0421,Děčín,CZ042,Ústecký kraj
Petroupim,CZ0201,Benešov,CZ020,Středočeský kraj
Doubice,CZ0421,Děčín,CZ042,Ústecký kraj
Dalešice,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj
Kunratice,CZ0513,Liberec,CZ051,Liberecký kraj
Poříčí nad Sázavou,CZ0201,Benešov,CZ020,Středočeský kraj
Postupice,CZ0201,Benešov,CZ020,Středočeský kraj
Dlouhý Most,CZ0513,Liberec,CZ051,Liberecký kraj
Pravonín,CZ0201,Benešov,CZ020,Středočeský kraj
Jeřmanice,CZ0513,Liberec,CZ051,Liberecký kraj
Přestavlky u Čerčan,CZ0201,Benešov,CZ020,Středočeský kraj
Miřejovice,CZ0423,Litoměřice,CZ042,Ústecký kraj
Psáře,CZ0201,Benešov,CZ020,Středočeský kraj
Rabyně,CZ0201,Benešov,CZ020,Středočeský kraj
Radošovice,CZ0201,Benešov,CZ020,Středočeský kraj
Rataje,CZ0201,Benešov,CZ020,Středočeský kraj
Kozly,CZ0424,Louny,CZ042,Ústecký kraj
Želkovice,CZ0424,Louny,CZ042,Ústecký kraj
Sedlec-Prčice,CZ020B,Příbram,CZ020,Středočeský kraj
Čeradice,CZ0424,Louny,CZ042,Ústecký kraj
Libočany,CZ0424,Louny,CZ042,Ústecký kraj
Zálužice,CZ0424,Louny,CZ042,Ústecký kraj
Smilkov,CZ0201,Benešov,CZ020,Středočeský kraj
Přestanov,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj
